Season,HomeTeam,AwayTeam,1HHG,1HAG,1HR,2HHG,2HAG,2HR,FTHG,FTAG,FTR,1HSumGoals,2HSumGoals,FTSumGoals,1HScore,2HScore,FTScore,2.5,Winner,BothScored,2.5/Winner,2.5/BothScored,Winner/BothScored,Result,HalfTvsFullT,2.5/Winner/BothScored
2016-17,Chelsea,Leicester,2,0,1,1,0,1,3,0,1,2,1,3,2:0,1:0,3:0,2.5,1,no,+2.5/1,+2.5/no,1/no,3:0,1/1,+2.5/1/no
2016-17,Crystal Palace,West Ham,0,1,2,0,0,X,0,1,2,1,0,1,0:1,0:0,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,2/2,-2.5/2/no
2016-17,Man City,Everton,0,0,X,1,1,X,1,1,X,0,2,2,0:0,1:1,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X,-2.5/X/yes
2016-17,Stoke,Sunderland,2,0,1,0,0,X,2,0,1,2,0,2,2:0,0:0,2:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,2:0,1/1,-2.5/1/no
2016-17,West Brom,Tottenham,0,0,X,1,1,X,1,1,X,0,2,2,0:0,1:1,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,X/X,-2.5/X/yes
2016-17,Middlesbrough,Watford,0,0,X,0,1,2,0,1,2,0,1,1,0:0,0:1,0:1,-2.5,2,no,-2.5/2,-2.5/no,2/no,1:0,X/2,-2.5/2/no
2016-17,Southampton,Burnley,0,0,X,3,1,1,3,1,1,0,4,4,0:0,3:1,3:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,3:1,X/1,+2.5/1/yes
2016-17,Liverpool,Man United,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2016-17,Arsenal,Middlesbrough,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2016-17,Bournemouth,Tottenham,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2016-17,Burnley,Everton,1,0,1,1,1,X,2,1,1,1,2,3,1:0,1:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1,+2.5/1/yes
2016-17,Hull,Stoke,0,1,2,0,1,2,0,2,2,1,1,2,0:1,0:1,0:2,-2.5,2,no,-2.5/2,-2.5/no,2/no,2:0,2/2,-2.5/2/no
2016-17,Leicester,Crystal Palace,1,0,1,2,1,1,3,1,1,1,3,4,1:0,2:1,3:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,3:1,1/1,+2.5/1/yes
2016-17,Liverpool,West Brom,2,0,1,0,1,2,2,1,1,2,1,3,2:0,0:1,2:1,2.5,1,yes,+2.5/1,+2.5/yes,1/yes,2:1,1/1,+2.5/1/yes
2016-17,Swansea,Watford,0,0,X,0,0,X,0,0,X,0,0,0,0:0,0:0,0:0,-2.5,X,no,-2.5/X,-2.5/no,X/no,0:0,X/X,-2.5/X/no
2016-17,West Ham,Sunderland,0,0,X,1,0,1,1,0,1,0,1,1,0:0,1:0,1:0,-2.5,1,no,-2.5/1,-2.5/no,1/no,1:0,X/1,-2.5/1/no
2016-17,Chelsea,Man United,2,0,1,2,0,1,4,0,1,2,2,4,2:0,2:0,4:0,2.5,1,no,+2.5/1,+2.5/no,1/no,4:0,1/1,+2.5/1/no
2016-17,Man City,Southampton,0,1,2,1,0,1,1,1,X,1,1,2,0:1,1:0,1:1,-2.5,X,yes,-2.5/X,-2.5/yes,X/yes,1:1,2/X,-2.5/X/yes
